pack,source_file,chunk_id,domain,topic,chunk_type,risk_level,free_tier_access,standard_tier_access,premium_tier_access,recommended_free_response,restriction_reason,content_preview
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m01_cbt_exercise_011,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Module 5 in these assertiveness modules is called “Reducing physical tension” and will introduce some exercises to lower the physical tension in your body. If you tend to worry a l
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m01_cbt_exercise_014,cbt_assertiveness,saying_no,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Rating your assertiveness in different situations Fill in each cell using a scale from 0 to 5. A rating of “0” means you can assert yourself with no problem. A rating of 5 means th
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m02_cbt_exercise_011,cbt_assertiveness,passive_aggressive_assertive,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Module summary • There are differences in the verbal and nonverbal characteristics of aggressive, assertive and passive communication. Each style has its own benefits and costs. Co"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m03_cbt_exercise_012,cbt_assertiveness,passive_aggressive_assertive,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,If you continue to practice this way of thinking you can find that you begin thinking and behaving in a more assertive manner. Thought Diary: Part 1 Understanding your reaction. Si
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m03_cbt_exercise_017,cbt_assertiveness,unhelpful_beliefs,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,This is especially true when we write then down and practise our new thoughts over and over again. Sometimes however it is hard for us to shift our beliefs when all we are doing is
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m03_cbt_exercise_025,cbt_assertiveness,rights_beliefs,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Module summary • Our thinking can sometimes stop us from behaving assertively. • Being assertive involves a number of rights but also a number of responsibilities. We have a respon
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m04_cbt_exercise_011,cbt_assertiveness,relaxation,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Describe your feelings ...I feel annoyed about this,... State how you would prefer the behaviour to ... so in future I'd like to receive it by be in the future. Friday lunch time E"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m04_cbt_exercise_012,cbt_assertiveness,saying_no,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,It is a good skill to use when you are dealing with clever articulate people as all you have to do is stick to your prepared lines. It helps keep you relaxed because you know what 
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m04_cbt_exercise_013,cbt_assertiveness,clear_requests,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,If you are not prepared to do that I will take the matter up with your Head Office. I would prefer to resolve it now.” The one situation in which this technique can be a disadvanta
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m04_cbt_exercise_014,cbt_assertiveness,compliments,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,It can be helpful to keep a little log book or diary of the ways you have been able to use these assertive techniques. Then you can see how often you are using assertiveness and wh
